id,type,github_url,github_raw_url,isDataClass,isFeatureEnvy,isGodClass,isLongMethod
11,Method,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/PaginationExample.java/#L145-L164,https://raw.githubusercontent.com/oracle/oci-java-sdk/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/PaginationExample.java/#L145-L164,0,0,0,0
12,Method,https://github.com/eclipse/tycho/blob/913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-its/projects/tycho136/projectC/PluginC.Extra/src/plugina/extra/views/SampleView.java/#L75-L78,https://raw.githubusercontent.com/eclipse/tycho/913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-its/projects/tycho136/projectC/PluginC.Extra/src/plugina/extra/views/SampleView.java/#L75-L78,0,0,0,0
13,Method,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/impl/UtilityExtensions.java/#L110-L114,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/impl/UtilityExtensions.java/#L110-L114,0,0,0,0
14,Class,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/impl/duration/impl/PeriodFormatterData.java/#L37-L676,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/impl/duration/impl/PeriodFormatterData.java/#L37-L676,0,0,1,0
15,Class,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/AlphabeticIndex.java/#L1101-L1154,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/AlphabeticIndex.java/#L1101-L1154,0,0,1,0
16,Method,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/UnicodeSet.java/#L394-L417,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/UnicodeSet.java/#L394-L417,0,0,0,0
17,Class,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/CompactCharArray.java/#L37-L434,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/CompactCharArray.java/#L37-L434,0,0,1,0
18,Method,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/PersianCalendar.java/#L420-L443,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/PersianCalendar.java/#L420-L443,0,0,0,0
19,Method,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/VTimeZone.java/#L1661-L1695,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/VTimeZone.java/#L1661-L1695,0,1,0,1
20,Method,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-core/src/main/java/android/taobao/atlas/framework/bundlestorage/BundleArchiveRevision.java/#L301-L332,https://raw.githubusercontent.com/alibaba/atlas/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-core/src/main/java/android/taobao/atlas/framework/bundlestorage/BundleArchiveRevision.java/#L301-L332,0,0,0,1
21,Method,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-core/src/main/java/android/taobao/atlas/runtime/newcomponent/IntentResolver.java/#L461-L489,https://raw.githubusercontent.com/alibaba/atlas/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-core/src/main/java/android/taobao/atlas/runtime/newcomponent/IntentResolver.java/#L461-L489,0,0,0,0
22,Method,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/frameworks/base/core/java/android/text/TextUtils.java/#L276-L288,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/frameworks/base/core/java/android/text/TextUtils.java/#L276-L288,0,0,0,0
23,Class,https://github.com/apache/groovy/blob/00ee0547c00673a93e0843a9d72c8e4293d1efdb/benchmark/bench/ary.java/#L13-L27,https://raw.githubusercontent.com/apache/groovy/00ee0547c00673a93e0843a9d72c8e4293d1efdb/benchmark/bench/ary.java/#L13-L27,0,0,0,0
24,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java/#L3637-L3663,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java/#L3637-L3663,0,0,0,0
25,Method,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java/#L48412-L48438,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java/#L48412-L48438,0,0,0,0
26,Method,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java/#L55815-L55819,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java/#L55815-L55819,0,0,0,0
27,Method,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/topology/StatefulWindowedBoltExecutor.java/#L225-L231,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/topology/StatefulWindowedBoltExecutor.java/#L225-L231,0,0,0,0
28,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/tuple/TupleImpl.java/#L37-L356,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/tuple/TupleImpl.java/#L37-L356,1,0,1,0
29,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/utils/ZookeeperServerCnxnFactory.java/#L29-L84,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/utils/ZookeeperServerCnxnFactory.java/#L29-L84,0,0,0,0
30,Class,https://github.com/eclipse/xtext-xtend/blob/20500a324127e3ee73cb793a13430ee140246fa7/org.eclipse.xtend.core.tests/testdata/bug417675/Either.java/#L512-L617,https://raw.githubusercontent.com/eclipse/xtext-xtend/20500a324127e3ee73cb793a13430ee140246fa7/org.eclipse.xtend.core.tests/testdata/bug417675/Either.java/#L512-L617,0,0,0,0
31,Method,https://github.com/SAP/SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/make/langtools/src/classes/build/tools/symbolgenerator/CreateSymbols.java/#L3226-L3242,https://raw.githubusercontent.com/SAP/SapMachine/6e62561730c46dc5000c39665c43951832192ceb/make/langtools/src/classes/build/tools/symbolgenerator/CreateSymbols.java/#L3226-L3242,0,0,0,0
32,Class,https://github.com/eclipse/ceylon/blob/d3994d6cd120c4df85952cd9432123b413cfd65a/runtime/api/src/main/java/ceylon/modules/api/runtime/AbstractRuntime.java/#L27-L101,https://raw.githubusercontent.com/eclipse/ceylon/d3994d6cd120c4df85952cd9432123b413cfd65a/runtime/api/src/main/java/ceylon/modules/api/runtime/AbstractRuntime.java/#L27-L101,0,0,0,0
33,Method,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java/#L32-L34,https://raw.githubusercontent.com/alibaba/ARouter/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java/#L32-L34,0,0,0,0
34,Method,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java/#L200-L213,https://raw.githubusercontent.com/alibaba/ARouter/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java/#L200-L213,0,0,0,0
35,Class,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidDataSource.java/#L109-L3626,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidDataSource.java/#L109-L3626,1,0,1,0
36,Class,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java/#L40-L1089,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java/#L40-L1089,1,0,1,0
37,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java/#L80-L87,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidPooledCallableStatement.java/#L80-L87,0,0,0,0
38,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidPooledConnection.java/#L534-L563,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidPooledConnection.java/#L534-L563,0,0,0,1
39,Class,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelector.java/#L38-L134,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelector.java/#L38-L134,0,0,0,0
40,Class,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/ast/statement/SQLDropTableStatement.java/#L26-L146,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/ast/statement/SQLDropTableStatement.java/#L26-L146,1,0,0,0
41,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/MySqlASTVisitorAdapter.java/#L1320-L1323,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/mysql/visitor/MySqlASTVisitorAdapter.java/#L1320-L1323,0,0,0,0
42,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleASTVisitorAdapter.java/#L909-L912,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/oracle/visitor/OracleASTVisitorAdapter.java/#L909-L912,0,0,0,0
43,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGEvalVisitor.java/#L69-L71,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/postgresql/visitor/PGEvalVisitor.java/#L69-L71,0,0,0,0
44,Class,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/sqlserver/parser/SQLServerSelectParser.java/#L35-L210,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/sql/dialect/sqlserver/parser/SQLServerSelectParser.java/#L35-L210,0,0,0,0
45,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/stat/TableStat.java/#L327-L329,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/stat/TableStat.java/#L327-L329,0,0,0,0
46,Method,https://github.com/alibaba/druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/support/monitor/MonitorClient.java/#L181-L211,https://raw.githubusercontent.com/alibaba/druid/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/support/monitor/MonitorClient.java/#L181-L211,0,0,0,0
47,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/com/alibaba/jstorm/batch/IPrepareCommit.java/#L28-L34,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/com/alibaba/jstorm/batch/IPrepareCommit.java/#L28-L34,0,0,0,0
48,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-hdfs/src/main/java/com/alibaba/jstorm/hdfs/spout/SequenceFileReader.java/#L104-L212,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-hdfs/src/main/java/com/alibaba/jstorm/hdfs/spout/SequenceFileReader.java/#L104-L212,1,0,0,0
49,Method,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/com/alibaba/jstorm/utils/PathUtils.java/#L99-L105,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/com/alibaba/jstorm/utils/PathUtils.java/#L99-L105,0,0,0,0
50,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/com/alibaba/jstorm/utils/TimeCacheQueue.java/#L45-L57,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/com/alibaba/jstorm/utils/TimeCacheQueue.java/#L45-L57,0,0,0,0
51,Class,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-on-yarn/src/main/java/com/alibaba/jstorm/yarn/generated/JstormAM.java/#L1738-L1786,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-on-yarn/src/main/java/com/alibaba/jstorm/yarn/generated/JstormAM.java/#L1738-L1786,0,0,0,0
52,Method,https://github.com/alibaba/jvm-sandbox/blob/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/enhance/weaver/SingleEventFactory.java/#L130-L140,https://raw.githubusercontent.com/alibaba/jvm-sandbox/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/enhance/weaver/SingleEventFactory.java/#L130-L140,0,0,0,0
53,Method,https://github.com/alibaba/jvm-sandbox/blob/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/SandboxStringUtils.java/#L65-L70,https://raw.githubusercontent.com/alibaba/jvm-sandbox/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/SandboxStringUtils.java/#L65-L70,0,0,0,0
54,Method,https://github.com/alibaba/jvm-sandbox/blob/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByAsm.java/#L397-L415,https://raw.githubusercontent.com/alibaba/jvm-sandbox/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByAsm.java/#L397-L415,0,0,0,0
55,Class,https://github.com/alibaba/jvm-sandbox/blob/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByJDK.java/#L109-L252,https://raw.githubusercontent.com/alibaba/jvm-sandbox/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/matcher/structure/ClassStructureImplByJDK.java/#L109-L252,0,0,1,0
56,Class,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/client-adapter/hbase/src/main/java/com/alibaba/otter/canal/client/adapter/hbase/support/PhTypeUtil.java/#L21-L609,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/client-adapter/hbase/src/main/java/com/alibaba/otter/canal/client/adapter/hbase/support/PhTypeUtil.java/#L21-L609,0,0,1,0
57,Method,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/common/src/main/java/com/alibaba/otter/canal/common/utils/NamedThreadFactory.java/#L43-L48,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/common/src/main/java/com/alibaba/otter/canal/common/utils/NamedThreadFactory.java/#L43-L48,0,0,0,0
58,Method,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L956-L963,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L956-L963,0,0,0,0
59,Method,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L2389-L2394,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L2389-L2394,0,0,0,0
60,Class,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L8477-L9689,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L8477-L9689,1,0,1,0
61,Method,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java/#L7011-L7019,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java/#L7011-L7019,0,0,0,0
62,Class,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java/#L14-L105,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java/#L14-L105,0,0,0,0
63,Class,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/server/src/main/java/com/alibaba/otter/canal/spi/CanalMetricsService.java/#L13-L47,https://raw.githubusercontent.com/alibaba/canal/08167c95c767fd3c9879584c0230820a8476a7a7/server/src/main/java/com/alibaba/otter/canal/spi/CanalMetricsService.java/#L13-L47,0,0,0,0
64,Method,https://github.com/alibaba/otter/blob/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/manager/web/src/main/java/com/alibaba/otter/manager/web/home/module/screen/DataSourceInfo.java/#L38-L45,https://raw.githubusercontent.com/alibaba/otter/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/manager/web/src/main/java/com/alibaba/otter/manager/web/home/module/screen/DataSourceInfo.java/#L38-L45,0,0,0,0
65,Method,https://github.com/alibaba/otter/blob/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/node/etl/src/main/java/com/alibaba/otter/node/etl/model/protobuf/BatchProto.java/#L4178-L4227,https://raw.githubusercontent.com/alibaba/otter/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/node/etl/src/main/java/com/alibaba/otter/node/etl/model/protobuf/BatchProto.java/#L4178-L4227,0,0,0,0
66,Method,https://github.com/alibaba/otter/blob/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/shared/common/src/main/java/com/alibaba/otter/shared/common/utils/meta/DdlUtils.java/#L270-L278,https://raw.githubusercontent.com/alibaba/otter/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/shared/common/src/main/java/com/alibaba/otter/shared/common/utils/meta/DdlUtils.java/#L270-L278,0,0,0,0
67,Method,https://github.com/alibaba/otter/blob/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/shared/etl/src/main/java/com/alibaba/otter/shared/etl/model/EventData.java/#L227-L229,https://raw.githubusercontent.com/alibaba/otter/a939897df75ae8aafdcbbbce0205d13ac87d6fdb/shared/etl/src/main/java/com/alibaba/otter/shared/etl/model/EventData.java/#L227-L229,0,0,0,0
68,Method,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/newindow/FastWordCountTopNWindowTopology.java/#L235-L244,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/newindow/FastWordCountTopNWindowTopology.java/#L235-L244,0,0,0,0
69,Method,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/userdefined/scheduler/TaskInDifferentNodeTopology.java/#L135-L142,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/userdefined/scheduler/TaskInDifferentNodeTopology.java/#L135-L142,0,0,0,0
