method,id,project,package,class,isFeatureEnvy,isLongMethod,isLongParametersList,isSwitchStatement,github_url,github_raw_url
"writeScene(Scene,PrintWriter,boolean,double,boolean,boolean,TextureImageExporter,String)",161126,aoi-2.8.1,artofillusion.translators,OBJExporter,1,0,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Translators/src/artofillusion/translators/OBJExporter.java#L111-L333,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Translators/src/artofillusion/translators/OBJExporter.java#L111-L333
"renderFlatTriangle(Vec2,double,Vec2,double,Vec2,double,int,int,double,int,RGBColor)",160605,aoi-2.8.1,artofillusion.view,SoftwareCanvasDrawer,0,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java#L897-L1204,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java#L897-L1204
"renderSmoothTriangle(Vec2,double,Vec2,double,Vec2,double,int,int,double,RGBColor,RGBColor,RGBColor)",160606,aoi-2.8.1,artofillusion.view,SoftwareCanvasDrawer,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java#L1208-L1573,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java#L1208-L1573
"fireEvent(Object,Object,Object,int,String,EReference)",370511,argouml-0.34,org.argouml.model.euml,ModelEventPumpEUMLImpl,0,1,0,0,https://github.com/JavaQualitasCorpus/argouml-0.34/blob/c7a02f0ac9b60e3fcc38ee2de783944d19e806a4/argouml/src/argouml-core-model-euml/src/org/argouml/model/euml/ModelEventPumpEUMLImpl.java#L352-L498,https://raw.githubusercontent.com/JavaQualitasCorpus/argouml-0.34/c7a02f0ac9b60e3fcc38ee2de783944d19e806a4/argouml/src/argouml-core-model-euml/src/org/argouml/model/euml/ModelEventPumpEUMLImpl.java#L352-L498
"invokeFeature(Map,Object,String,String,Object[])",374650,argouml-0.34,org.argouml.profile.internal.ocl.uml14,CollectionsModelInterpreter,0,1,0,0,https://github.com/JavaQualitasCorpus/argouml-0.34/blob/c7a02f0ac9b60e3fcc38ee2de783944d19e806a4/argouml/src/argouml-app/src/org/argouml/profile/internal/ocl/uml14/CollectionsModelInterpreter.java#L63-L450,https://raw.githubusercontent.com/JavaQualitasCorpus/argouml-0.34/c7a02f0ac9b60e3fcc38ee2de783944d19e806a4/argouml/src/argouml-app/src/org/argouml/profile/internal/ocl/uml14/CollectionsModelInterpreter.java#L63-L450
supportsOperator(ComparisonOperator),28430,axion-1.0-M2,org.axiondb.engine,BaseArrayIndex,1,0,0,0,https://github.com/JavaQualitasCorpus/axion-1.0-M2/blob/5453d44a2f052bd55bd6f7bc06bf4af2e24958a2/src/org/axiondb/engine/BaseArrayIndex.java#L93-L111,https://raw.githubusercontent.com/JavaQualitasCorpus/axion-1.0-M2/5453d44a2f052bd55bd6f7bc06bf4af2e24958a2/src/org/axiondb/engine/BaseArrayIndex.java#L93-L111
"processFromTree(FromNode,Database)",30537,axion-1.0-M2,org.axiondb.engine.commands,SelectCommand,1,1,0,0,https://github.com/JavaQualitasCorpus/axion-1.0-M2/blob/5453d44a2f052bd55bd6f7bc06bf4af2e24958a2/src/org/axiondb/engine/commands/SelectCommand.java#L393-L556,https://raw.githubusercontent.com/JavaQualitasCorpus/axion-1.0-M2/5453d44a2f052bd55bd6f7bc06bf4af2e24958a2/src/org/axiondb/engine/commands/SelectCommand.java#L393-L556
SqlTableList(FromNode),29067,axion-1.0-M2,org.axiondb.parser,AxionSqlParser,1,0,0,0,https://github.com/JavaQualitasCorpus/axion-1.0-M2/blob/5453d44a2f052bd55bd6f7bc06bf4af2e24958a2/src/org/axiondb/parser/AxionSqlParser.java#L1658-L1683,https://raw.githubusercontent.com/JavaQualitasCorpus/axion-1.0-M2/5453d44a2f052bd55bd6f7bc06bf4af2e24958a2/src/org/axiondb/parser/AxionSqlParser.java#L1658-L1683
appendJoin(JDBCQueryExpression.Join),251223,castor-1.3.1,org.castor.cpa.persistence.sql.driver,InterbaseQueryExpression,1,0,0,0,https://github.com/JavaQualitasCorpus/castor-1.3.3/blob/998e4784805f81e1a6fb907c59eb5c01d29673d1/cpa/src/main/java/org/castor/cpa/persistence/sql/driver/InterbaseQueryExpression.java#L94-L121,https://raw.githubusercontent.com/JavaQualitasCorpus/castor-1.3.3/998e4784805f81e1a6fb907c59eb5c01d29673d1/cpa/src/main/java/org/castor/cpa/persistence/sql/driver/InterbaseQueryExpression.java#L94-L121
"forEachIndexFromToInState(int,int,boolean,IntProcedure)",67233,colt-1.2.0,cern.colt.bitvector,BitVector,0,1,0,0,https://github.com/JavaQualitasCorpus/colt-1.2.0/blob/26a5953e0d4b120135996b218e440af2c45a06b8/src/cern/colt/bitvector/BitVector.java#L292-L420,https://raw.githubusercontent.com/JavaQualitasCorpus/colt-1.2.0/26a5953e0d4b120135996b218e440af2c45a06b8/src/cern/colt/bitvector/BitVector.java#L292-L420
hqr2(),66698,colt-1.2.0,cern.colt.matrix.linalg,EigenvalueDecomposition,0,1,0,0,https://github.com/JavaQualitasCorpus/colt-1.2.0/blob/26a5953e0d4b120135996b218e440af2c45a06b8/src/cern/colt/matrix/linalg/EigenvalueDecomposition.java#L175-L612,https://raw.githubusercontent.com/JavaQualitasCorpus/colt-1.2.0/26a5953e0d4b120135996b218e440af2c45a06b8/src/cern/colt/matrix/linalg/EigenvalueDecomposition.java#L175-L612
synchronizeHeaderlist(),145509,columba-1.0,org.columba.mail.folder.imap,IMAPFolder,0,1,0,0,https://github.com/JavaQualitasCorpus/columba-1.0/blob/ad9e5f3119a76c05c8179301bd0a8d77e04ec2b6/src/mail/core/org/columba/mail/folder/imap/IMAPFolder.java#L256-L526,https://raw.githubusercontent.com/JavaQualitasCorpus/columba-1.0/ad9e5f3119a76c05c8179301bd0a8d77e04ec2b6/src/mail/core/org/columba/mail/folder/imap/IMAPFolder.java#L256-L526
ensureAuthenticated(),143757,columba-1.0,org.columba.mail.smtp,SMTPServer,1,1,0,0,https://github.com/JavaQualitasCorpus/columba-1.0/blob/ad9e5f3119a76c05c8179301bd0a8d77e04ec2b6/src/mail/core/org/columba/mail/smtp/SMTPServer.java#L115-L286,https://raw.githubusercontent.com/JavaQualitasCorpus/columba-1.0/ad9e5f3119a76c05c8179301bd0a8d77e04ec2b6/src/mail/core/org/columba/mail/smtp/SMTPServer.java#L115-L286
"abbreviateHtmlString(String,int,boolean)",9169,displaytag-1.2,org.displaytag.util,HtmlTagUtil,0,1,0,0,https://github.com/JavaQualitasCorpus/displaytag-1.2/blob/f8e13583d6347fb4cce6396e90cced7d4ac86366/displaytag/src/main/java/org/displaytag/util/HtmlTagUtil.java#L100-L268,https://raw.githubusercontent.com/JavaQualitasCorpus/displaytag-1.2/f8e13583d6347fb4cce6396e90cced7d4ac86366/displaytag/src/main/java/org/displaytag/util/HtmlTagUtil.java#L100-L268
getSoundDefinition(InputStream),45800,drawswf-1.2.9,com.anotherbigidea.flash.sound,MP3Helper,1,0,0,0,https://github.com/JavaQualitasCorpus/drawswf-1.2.9/blob/f91b88aba4d509846e74c8629b25fc07ac4f4d7a/com/anotherbigidea/flash/sound/MP3Helper.java#L46-L84,https://raw.githubusercontent.com/JavaQualitasCorpus/drawswf-1.2.9/f91b88aba4d509846e74c8629b25fc07ac4f4d7a/com/anotherbigidea/flash/sound/MP3Helper.java#L46-L84
"setColoring(int,Graphics)",217461,drjava-stable-20100913-r5387,edu.rice.cs.drjava.model.repl,InteractionsDJDocument,1,0,0,0,https://github.com/JavaQualitasCorpus/drjava-stable-20100913-r5387/blob/098194d34300561c4b14ecb3d206ba4f30d1c98f/src/src/edu/rice/cs/drjava/model/repl/InteractionsDJDocument.java#L237-L293,https://raw.githubusercontent.com/JavaQualitasCorpus/drjava-stable-20100913-r5387/098194d34300561c4b14ecb3d206ba4f30d1c98f/src/src/edu/rice/cs/drjava/model/repl/InteractionsDJDocument.java#L237-L293
"show(Component,String,String,int,SizedIterable,SizedIterable,int,Runnable,SizedIterable)",218980,drjava-stable-20100913-r5387,edu.rice.cs.drjava.ui,AutoCompletePopup,0,1,0,0,https://github.com/JavaQualitasCorpus/drjava-stable-20100913-r5387/blob/098194d34300561c4b14ecb3d206ba4f30d1c98f/src/src/edu/rice/cs/drjava/ui/AutoCompletePopup.java#L163-L299,https://raw.githubusercontent.com/JavaQualitasCorpus/drjava-stable-20100913-r5387/098194d34300561c4b14ecb3d206ba4f30d1c98f/src/src/edu/rice/cs/drjava/ui/AutoCompletePopup.java#L163-L299
mergeload(File),24131,emma-2.0.5312,com.vladium.emma.data,DataFactory,0,1,0,0,https://github.com/JavaQualitasCorpus/emma-2.0.5312/blob/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/data/DataFactory.java#L390-L496,https://raw.githubusercontent.com/JavaQualitasCorpus/emma-2.0.5312/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/data/DataFactory.java#L390-L496
"clinitHeader(InstrVisitor,int)",24687,emma-2.0.5312,com.vladium.emma.instr,InstrVisitor.clinitHeader,1,0,0,0,https://github.com/JavaQualitasCorpus/emma-2.0.5312/blob/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/instr/InstrVisitor.java#L1804-L1854,https://raw.githubusercontent.com/JavaQualitasCorpus/emma-2.0.5312/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/instr/InstrVisitor.java#L1804-L1854
"initialize(IMetaData,ICoverageData,SourcePathCache,IProperties)",25184,emma-2.0.5312,com.vladium.emma.report,AbstractReportGenerator,1,1,0,0,https://github.com/JavaQualitasCorpus/emma-2.0.5312/blob/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/report/AbstractReportGenerator.java#L55-L213,https://raw.githubusercontent.com/JavaQualitasCorpus/emma-2.0.5312/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/report/AbstractReportGenerator.java#L55-L213
"embedSrcFile(SrcFileItem,HTMLDocument,IntObjectMap,SourcePathCache)",24802,emma-2.0.5312,com.vladium.emma.report.html,ReportGenerator,1,1,0,0,https://github.com/JavaQualitasCorpus/emma-2.0.5312/blob/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/report/html/ReportGenerator.java#L1115-L1283,https://raw.githubusercontent.com/JavaQualitasCorpus/emma-2.0.5312/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/emma/report/html/ReportGenerator.java#L1115-L1283
parse(String[]),23944,emma-2.0.5312,com.vladium.util.args,OptsParser,0,1,0,0,https://github.com/JavaQualitasCorpus/emma-2.0.5312/blob/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/util/args/OptsParser.java#L118-L401,https://raw.githubusercontent.com/JavaQualitasCorpus/emma-2.0.5312/5e9c39116d69db591a22ce38d3108161b254bae2/core/java12/com/vladium/util/args/OptsParser.java#L118-L401
"encodeBegin(FacesContext,UIComponent)",261963,exoportal-v1.0.2,org.exoplatform.faces.core.renderer.html,StringInputRenderer,1,0,0,0,https://github.com/JavaQualitasCorpus/exoportal-v1.0.2/blob/7d48e67de0200e2ca1dd60ebef9c408361bb5309/jsf-components/src/java/org/exoplatform/faces/core/renderer/html/StringInputRenderer.java#L30-L67,https://raw.githubusercontent.com/JavaQualitasCorpus/exoportal-v1.0.2/7d48e67de0200e2ca1dd60ebef9c408361bb5309/jsf-components/src/java/org/exoplatform/faces/core/renderer/html/StringInputRenderer.java#L30-L67
findUsers(Query),262361,exoportal-v1.0.2,org.exoplatform.services.organization.ldap,UserHandler,1,1,0,0,https://github.com/JavaQualitasCorpus/exoportal-v1.0.2/blob/7d48e67de0200e2ca1dd60ebef9c408361bb5309/services/organization/impl/src/java/org/exoplatform/services/organization/ldap/UserHandler.java#L245-L352,https://raw.githubusercontent.com/JavaQualitasCorpus/exoportal-v1.0.2/7d48e67de0200e2ca1dd60ebef9c408361bb5309/services/organization/impl/src/java/org/exoplatform/services/organization/ldap/UserHandler.java#L245-L352
"process(ServletContext,HttpServletRequest,HttpServletResponse,Input,Output,PortletWindowInternal,boolean)",264266,exoportal-v1.0.2,org.exoplatform.services.portletcontainer.impl,PortletApplicationHandler,1,0,0,0,https://github.com/JavaQualitasCorpus/exoportal-v1.0.2/blob/7d48e67de0200e2ca1dd60ebef9c408361bb5309/services/portlet-container/impl/src/java/org/exoplatform/services/portletcontainer/impl/PortletApplicationHandler.java#L79-L282,https://raw.githubusercontent.com/JavaQualitasCorpus/exoportal-v1.0.2/7d48e67de0200e2ca1dd60ebef9c408361bb5309/services/portlet-container/impl/src/java/org/exoplatform/services/portletcontainer/impl/PortletApplicationHandler.java#L79-L282
"meetInto(IsNullValueFrame,Edge,IsNullValueFrame,boolean)",244299,findbugs-1.3.9,edu.umd.cs.findbugs.ba.npe,IsNullValueAnalysis,1,1,0,0,https://github.com/JavaQualitasCorpus/findbugs-1.3.9/blob/a7a410ffa2f22ff37bc9783a949a716b5e020f80/src/java/edu/umd/cs/findbugs/ba/npe/IsNullValueAnalysis.java#L369-L560,https://raw.githubusercontent.com/JavaQualitasCorpus/findbugs-1.3.9/a7a410ffa2f22ff37bc9783a949a716b5e020f80/src/java/edu/umd/cs/findbugs/ba/npe/IsNullValueAnalysis.java#L369-L560
parse(ClassNameAndSuperclassInfo.Builder),239237,findbugs-1.3.9,edu.umd.cs.findbugs.classfile.engine,ClassParserUsingASM,0,1,0,0,https://github.com/JavaQualitasCorpus/findbugs-1.3.9/blob/a7a410ffa2f22ff37bc9783a949a716b5e020f80/src/java/edu/umd/cs/findbugs/classfile/engine/ClassParser.java#L83-L141,https://raw.githubusercontent.com/JavaQualitasCorpus/findbugs-1.3.9/a7a410ffa2f22ff37bc9783a949a716b5e020f80/src/java/edu/umd/cs/findbugs/classfile/engine/ClassParser.java#L83-L141
"analyzeMethod(ClassContext,Method,StreamResourceTracker,ResourceCollection)",246997,findbugs-1.3.9,edu.umd.cs.findbugs.detect,FindOpenStream,1,1,0,0,https://github.com/JavaQualitasCorpus/findbugs-1.3.9/blob/a7a410ffa2f22ff37bc9783a949a716b5e020f80/src/java/edu/umd/cs/findbugs/detect/FindOpenStream.java#L346-L463,https://raw.githubusercontent.com/JavaQualitasCorpus/findbugs-1.3.9/a7a410ffa2f22ff37bc9783a949a716b5e020f80/src/java/edu/umd/cs/findbugs/detect/FindOpenStream.java#L346-L463
Result(),306,fitjava-1.1,fat,ReferenceFixture,1,0,0,0,https://github.com/JavaQualitasCorpus/fitjava-1.1/blob/71874911dfa595caacb0cb1249627996126d573c/spec/fat/ReferenceFixture.java#L12-L40,https://raw.githubusercontent.com/JavaQualitasCorpus/fitjava-1.1/71874911dfa595caacb0cb1249627996126d573c/spec/fat/ReferenceFixture.java#L12-L40
"parseTable(Table,TestResults)",61350,fitlibraryforfitnesse-20100806,fitlibraryGeneric.list,ListParser2,1,0,0,0,https://github.com/JavaQualitasCorpus/fitlibraryforfitnesse-20110301/blob/ceb5abcce236ae380cc0745a7920f82cfba69a19/fitnesse/lib/src/fitlibrarySrc/fitlibraryGeneric/list/ListParser2.java#L38-L64,https://raw.githubusercontent.com/JavaQualitasCorpus/fitlibraryforfitnesse-20110301/ceb5abcce236ae380cc0745a7920f82cfba69a19/fitnesse/lib/src/fitlibrarySrc/fitlibraryGeneric/list/ListParser2.java#L38-L64
"TilePopup(Tile,FreeColClient,Canvas,GUI)",208948,freecol-0.10.3,net.sf.freecol.client.gui,TilePopup,1,1,0,0,https://github.com/JavaQualitasCorpus/freecol-0.10.3/blob/a7759ed9f841b80db59581b4a25c0501be091a51/src/net/sf/freecol/client/gui/TilePopup.java#L91-L388,https://raw.githubusercontent.com/JavaQualitasCorpus/freecol-0.10.3/a7759ed9f841b80db59581b4a25c0501be091a51/src/net/sf/freecol/client/gui/TilePopup.java#L91-L388
"resolveAttack(Unit,Unit,boolean,float,List)",212455,freecol-0.10.3,net.sf.freecol.common.model,SimpleCombatModel,1,0,0,0,https://github.com/JavaQualitasCorpus/freecol-0.10.3/blob/a7759ed9f841b80db59581b4a25c0501be091a51/src/net/sf/freecol/common/model/SimpleCombatModel.java#L513-L671,https://raw.githubusercontent.com/JavaQualitasCorpus/freecol-0.10.3/a7759ed9f841b80db59581b4a25c0501be091a51/src/net/sf/freecol/common/model/SimpleCombatModel.java#L513-L671
logoutUser(User),16181,freecs-1.3.20100406,freecs.auth.sqlConnectionPool,PoolElement,1,1,0,0,https://github.com/JavaQualitasCorpus/freecs-1.3.20100406/blob/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/auth/sqlConnectionPool/PoolElement.java#L557-L692,https://raw.githubusercontent.com/JavaQualitasCorpus/freecs-1.3.20100406/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/auth/sqlConnectionPool/PoolElement.java#L557-L692
"readColumns(User,ResultSet)",16179,freecs-1.3.20100406,freecs.auth.sqlConnectionPool,PoolElement,1,1,0,0,https://github.com/JavaQualitasCorpus/freecs-1.3.20100406/blob/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/auth/sqlConnectionPool/PoolElement.java#L398-L505,https://raw.githubusercontent.com/JavaQualitasCorpus/freecs-1.3.20100406/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/auth/sqlConnectionPool/PoolElement.java#L398-L505
"execute(MessageState,String)",16324,freecs-1.3.20100406,freecs.commands,CmdKickToRoom,1,1,0,0,https://github.com/JavaQualitasCorpus/freecs-1.3.20100406/blob/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/commands/CmdKickToRoom.java#L63-L182,https://raw.githubusercontent.com/JavaQualitasCorpus/freecs-1.3.20100406/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/commands/CmdKickToRoom.java#L63-L182
"encode(String,StringBuffer,boolean,Set)",16821,freecs-1.3.20100406,freecs.util,HtmlEncoder,0,1,0,0,https://github.com/JavaQualitasCorpus/freecs-1.3.20100406/blob/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/util/HtmlEncoder.java#L420-L836,https://raw.githubusercontent.com/JavaQualitasCorpus/freecs-1.3.20100406/5dbddcb702830f9d2476cb52b4706661cfcca87f/src/freecs/util/HtmlEncoder.java#L420-L836
"OptionalDontShowMeAgainDialog(Component, TextTranslator, int, String, JFrame, String, DontShowPropertyHandler)",5,freemind-0.9.0,freemind.common,OptionalDontShowMeAgainDialog,0,0,1,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/common/OptionalDontShowMeAgainDialog.java#L100-L109,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/common/OptionalDontShowMeAgainDialog.java#L100-L109
"afterMapModuleChange(MapModule, Mode, MapModule, Mode)",147,freemind-0.9.0,freemind.controller,MapModuleManager.MapModuleChangeObserverCompound,0,0,1,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/controller/MapModuleManager.java#L98-L103,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/controller/MapModuleManager.java#L98-L103
itemStateChanged(ItemEvent),170,freemind-0.9.0,freemind.controller.filter,FilterComposerDialog.SelectedAttributeChangeListener,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/controller/filter/FilterComposerDialog.java#L375-L429,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/controller/filter/FilterComposerDialog.java#L375-L429
"addClassesFromDir(Vector, File, File, int)",20,freemind-0.9.0,freemind.extensions,ImportWizard,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/extensions/ImportWizard.java#L158-L217,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/extensions/ImportWizard.java#L158-L217
setScreenBounds(),4,freemind-0.9.0,freemind.main,FreeMind,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/FreeMind.java#L773-L955,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/FreeMind.java#L773-L955
removeInvalidXmlCharacters(String),14,freemind-0.9.0,freemind.main,HtmlTools,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/HtmlTools.java#L548-L610,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/HtmlTools.java#L548-L610
